Fecha,CO (mg/m3),NO (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM25 (ug/m3),SO2 (ug/m3),Provincia,Estación,Latitud,Longitud,,
27/04/2020,,1.0,2.0,81,12.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
28/04/2020,,1.0,2.0,77,7.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
29/04/2020,,1.0,3.0,67,9.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
30/04/2020,,1.0,1.0,75,9.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
01/05/2020,,1.0,1.0,49,8.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
02/05/2020,,1.0,2.0,40,8.0,1.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
03/05/2020,,2.0,4.0,39,9.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
04/05/2020,,2.0,3.0,63,18.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
05/05/2020,,1.0,3.0,63,,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
06/05/2020,,2.0,5.0,60,,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
07/05/2020,,1.0,5.0,63,,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
08/05/2020,,1.0,5.0,67,15.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
09/05/2020,,1.0,1.0,74,11.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
10/05/2020,,1.0,1.0,67,2.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
11/05/2020,,1.0,2.0,66,3.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
